コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,企業名,業界
3286,2022/06,8563544000,398965000,402205000,351215000,2000200000,2399884000,108.43,4.7,トラストHD,不動産業
3288,2022/09,1031174000000,395702000000,326221000000,286286000000,144309000000,314784000000,2802.19,32.7,オープンハウスグループ,不動産業
3289,2022/03,2634343000000,643298000000,600791000000,356986000000,158469000000,983249000000,878.32,24.0,東急不動産HD,不動産業
3291,2022/03,1708668000000,935831000000,932525000000,523545000000,248665000000,251767000000,3233.68,54.6,飯田グループHD,不動産業
3293,2022/03,31326800000,15800814000,15757436000,14643746000,1627951000,9642045000,1966.71,50.4,アズマハウス,不動産業
3294,2022/03,24435400000,9226807000,9188994000,7733470000,6426058000,6234072000,1477.32,37.6,イーグランド,不動産業
3297,2022/05,5366387000,3764893000,3759674000,3215988000,525416000,405032000,1398.66,70.2,東武住販,不動産業
3299,2022/12,77448000000,24604000000,24511000000,20027000000,6023000000,29049000000,1044.64,31.6,ムゲンエステート,不動産業
3300,2022/06,17036770000,3744316000,3703143000,2859192000,885832000,5747764000,548.25,21.9,アンビションDXHD,不動産業
3302,2022/12,72132858000,58024393000,44509985000,42950232000,-,-,2207.88,79.9,帝国繊維,繊維製品
3306,2022/03,3634525000,2197366000,1422201000,763252000,30000000,305073000,399.03,40.3,日本製麻,卸売業
3315,2022/03,128767000000,57343000000,57306000000,49765000000,14094000000,9099000000,197.04,44.5,日本コークス工業,石油・石炭製品
3316,2022/03,5914074000,3666800000,3618550000,2317236000,-,-,583.42,62.0,東京日産コンピュータシステム,卸売業
3317,2022/03,3920110000,2341821000,2341821000,1272012000,-,-,1620.36,59.7,フライングガーデン,小売業
3319,2022/12,43524609000,1598875000,1226547000,-152151000,5603721000,12961461000,86.46,3.6,ゴルフダイジェスト・オンライン,小売業
3320,2023/01,26097000000,12464000000,11429000000,7988000000,1000000000,2376000000,1693.82,47.6,クロスプラス,卸売業
3321,2022/05,20210267000,11631506000,10974979000,9267357000,1613279000,-,1463.32,57.5,ミタチ産業,卸売業
3322,2022/03,8641784000,4958776000,4959031000,4427099000,670000000,299166000,877.25,57.4,アルファグループ,卸売業
3323,2022/09,9239668000,4640924000,4326071000,-697560000,1497264000,770990000,53.26,46.8,レカム,卸売業
3326,2022/06,3665648000,253109000,253109000,-702176000,100980000,2378679000,59.55,6.9,ランシステム,小売業
3328,2022/09,33909000000,18001000000,9962000000,5367000000,3550000000,1048000000,1443.63,52.5,BEENOS,小売業
3329,2022/04,8519074000,5675549000,5667034000,4411327000,-,600000000,703.32,66.6,東和フードサービス,小売業
3333,2023/02,50411000000,34987000000,35147103000,31100689000,-,-,1339.8,69.4,あさひ,小売業
3341,2022/03,178753000000,52876000000,52887000000,41507000000,1000000000,41531000000,1763.34,29.6,日本調剤,小売業
